"average.salary";"duration";"amount";"status"
"1";12541;24;80952;1
"2";9104;12;30276;-1
"3";8427;24;165960;1
"4";9317;12;88440;1
"5";8512;12;104808;1
"6";8772;48;123696;1
"7";9897;60;100980;1
"8";8403;24;187224;-1
"9";12541;60;252060;-1
"10";8598;60;262980;1
"11";9272;24;91152;1
"12";10446;48;73056;1
"13";9897;48;208128;-1
"14";8173;48;215616;-1
"15";8427;12;24312;1
"16";8363;24;48624;1
"17";9307;60;538500;1
"18";8994;24;187104;1
"19";8544;48;87216;1
"20";8994;48;309552;1
"21";9065;60;284280;1
"22";9753;60;189060;1
"23";8390;60;204000;1
"24";8403;24;98184;1
"25";9893;60;253200;1
"26";8547;24;192552;-1
"27";9622;48;149040;1
"28";8554;48;99696;-1
"29";8544;48;182640;1
"30";8965;36;71064;1
"31";8402;24;45336;1
"32";8930;36;164052;-1
"33";8173;48;388512;-1
"34";12541;12;78936;1
"35";9893;36;141948;1
"36";8594;36;248148;1
"37";8594;60;30060;1
"38";8930;36;202788;1
"39";9650;12;96396;-1
"40";8369;36;165960;1
"41";9317;60;239460;1
"42";8754;36;105804;1
"43";8402;60;396120;1
"44";9272;36;162468;1
"45";10787;48;249312;1
"46";8720;36;205200;1
"47";9893;12;68400;-1
"48";10177;12;86184;1
"49";12541;12;101520;1
"50";12541;36;71460;1
"51";8930;12;61560;1
"52";8427;24;170256;1
"53";8110;36;299088;-1
"54";8402;60;182040;1
"55";8930;24;92976;1
"56";9675;48;185952;1
"57";8746;36;139464;-1
"58";8843;48;347952;1
"59";12541;36;20196;1
"60";8705;24;46320;1
"61";9893;24;99336;1
"62";9307;60;199680;1
"63";10177;60;49440;1
"64";8594;36;156672;1
"65";8991;12;95808;1
"66";8403;48;200976;1
"67";12541;12;24516;1
"68";8541;60;165120;1
"69";9624;48;360000;1
"70";8441;60;89340;1
"71";9920;12;91632;1
"72";8288;36;93888;1
"73";8402;24;111384;1
"74";9622;60;50460;1
"75";10673;60;380160;1
"76";10124;60;272520;1
"77";12541;12;31248;1
"78";8909;36;48744;1
"79";10124;48;155616;1
"80";8254;36;277884;-1
"81";8441;12;82896;1
"82";9317;12;15420;1
"83";8444;36;253512;-1
"84";8965;48;123216;1
"85";10045;60;321180;1
"86";8678;48;177744;-1
"87";8843;60;222180;-1
"88";12541;36;77184;1
"89";8288;12;4980;1
"90";8899;24;44088;1
"91";8994;36;161496;1
"92";9060;60;158760;1
"93";8965;12;23628;1
"94";12541;60;316140;-1
"95";9624;48;444864;1
"96";12541;12;76380;1
"97";12541;12;18564;1
"98";9065;24;68544;1
"99";9920;12;63252;1
"100";9897;12;23052;1
"101";8363;48;158976;1
"102";9622;24;137904;-1
"103";8512;24;79632;1
"104";8772;60;244560;1
"105";8843;24;51408;1
"106";10673;48;221280;1
"107";8991;24;97224;1
"108";10446;36;73836;1
"109";9272;12;87816;1
"110";8544;36;192744;1
"111";8441;36;192744;1
"112";8746;24;66480;-1
"113";8991;24;15192;1
"114";8187;48;135360;1
"115";8561;36;300204;1
"116";8899;12;20220;1
"117";8561;48;64656;1
"118";9753;60;402000;1
"119";8507;24;107640;1
"120";8512;48;465072;1
"121";9045;12;21396;1
"122";8363;24;141648;1
"123";9538;36;213300;1
"124";10045;24;117024;1
"125";8388;48;98832;1
"126";8754;24;143904;1
"127";9425;60;359760;1
"128";9897;48;179328;1
"129";12541;36;258444;1
"130";8547;36;128988;-1
"131";8240;24;110112;1
"132";9897;12;11400;1
"133";8598;24;61656;-1
"134";12541;48;323472;1
"135";8757;48;20352;1
"136";12541;48;320976;-1
"137";8743;12;14628;1
"138";8909;24;173808;1
"139";8994;36;193968;1
"140";9624;60;276300;1
"141";8254;24;79608;1
"142";9317;60;300660;1
"143";8254;60;149340;1
"144";8512;60;368880;1
"145";8991;24;174744;-1
"146";9675;24;174744;-1
"147";8363;48;209184;1
"148";9425;48;32640;1
"149";8598;12;44628;1
"150";9045;12;44376;1
"151";10177;12;83016;1
"152";8814;60;225420;1
"153";9307;60;285600;1
"154";10124;24;98592;1
"155";8388;60;103680;-1
"156";8363;60;290700;-1
"157";10673;48;232560;1
"158";12541;24;31176;1
"159";10177;60;123600;1
"160";9897;12;65184;1
"161";9045;48;87216;-1
"162";8187;24;141240;1
"163";12541;48;61056;1
"164";9538;24;28248;1
"165";8546;60;464520;-1
"166";12541;24;11736;1
"167";8772;36;276660;-1
"168";12541;36;270648;-1
"169";10673;24;59760;1
"170";10673;60;398640;1
"171";8965;24;87360;1
"172";9624;48;85632;1
"173";10787;60;79920;1
"174";8980;48;270384;1
"175";10673;12;17508;1
"176";9060;60;181020;1
"177";8930;24;72408;-1
"178";8930;12;36684;1
"179";12541;24;110136;1
"180";8814;12;43164;1
"181";8754;12;76908;-1
"182";8965;36;212400;1
"183";8427;36;60156;-1
"184";8427;36;22968;1
"185";8208;36;95400;1
"186";9060;60;137880;-1
"187";8544;12;37908;1
"188";10673;48;194880;1
"189";9832;24;25944;1
"190";8965;36;96768;1
"191";9624;12;47016;1
"192";12541;36;48672;1
"193";8754;36;74124;1
"194";9307;24;155640;1
"195";8208;60;63360;1
"196";12541;24;80952;1
"197";9104;12;30276;-1
"198";9624;24;55368;1
"199";9753;48;63312;1
"200";10446;24;91200;1
"201";8288;36;288468;1
"202";9425;12;41952;1
"203";8994;48;309600;1
"204";9104;60;191880;1
"205";12541;24;31728;1
"206";8544;48;320592;1
"207";10673;24;51696;1
"208";8363;12;27984;1
"209";8624;48;196080;1
"210";9624;60;372120;1
"211";8402;24;189696;1
"212";8965;48;20832;1
"213";8441;24;189696;-1
"214";12541;24;91584;1
"215";8819;12;68112;1
"216";8363;12;72120;1
"217";9675;36;21852;1
"218";8173;24;84120;1
"219";8743;12;71460;1
"220";8254;12;77640;1
"221";8899;24;93600;1
"222";12541;36;140400;1
"223";12541;48;208320;1
"224";8991;12;49320;-1
"225";9897;60;56100;1
"226";9065;24;155880;1
"227";8390;36;74736;1
"228";10787;24;29784;1
"229";9622;12;80340;1
"230";8930;36;224604;1
"231";8598;24;87840;1
"232";10177;24;134784;1
"233";8909;60;89040;1
"234";12541;48;247728;1
"235";9060;24;7656;1
"236";8843;60;417060;1
"237";8547;60;266220;1
"238";8547;60;220620;1
"239";9753;24;21072;1
"240";8402;36;265320;1
"241";8507;60;85860;1
"242";8624;12;74688;1
"243";9538;48;174048;1
"244";10045;36;173016;1
"245";12541;60;288360;1
"246";9893;24;76680;1
"247";10673;36;230220;-1
"248";9624;24;47304;1
"249";8114;36;85716;1
"250";9624;48;33984;1
"251";12541;60;125340;1
"252";10177;48;45024;1
"253";9624;36;227880;1
"254";9317;48;186384;1
"255";10177;48;100224;-1
"256";12541;48;70656;1
"257";8994;48;155616;1
"258";12541;12;38148;1
"259";9538;60;189300;1
"260";10124;48;172080;1
"261";8390;60;127080;1
"262";8994;12;29448;-1
"263";9622;12;86616;1
"264";12541;12;39576;1
"265";9893;12;41904;1
"266";9650;24;52128;1
"267";12541;36;120888;1
"268";10177;12;86184;1
"269";12541;12;36396;1
"270";9624;48;188688;1
"271";12541;36;228276;1
"272";8544;48;46176;1
"273";8930;24;104712;1
"274";10673;24;104712;1
"275";8403;48;244368;1
"276";12541;24;76416;1
"277";8965;36;176148;1
"278";8814;24;139536;1
"279";9897;36;113796;1
"280";10673;48;151728;-1
"281";8363;48;133968;1
"282";9624;12;96168;1
"283";9622;24;126600;1
"284";8547;12;97632;1
"285";8754;60;331560;1
"286";12541;12;36168;1
"287";8441;60;89340;1
"288";8991;36;19044;1
"289";11277;36;194940;1
"290";8544;60;167100;1
"291";12541;36;231696;1
"292";8743;24;121896;1
"293";12541;36;215388;-1
"294";9897;24;75624;-1
"295";10045;48;421008;1
"296";9893;60;259740;1
"297";8743;36;21924;1
"298";10446;24;123408;1
"299";8441;36;54396;1
"300";8512;24;151560;1
"301";8994;60;60000;1
"302";12541;60;482940;-1
"303";8743;60;417600;1
"304";9832;24;198240;1
"305";9622;36;260028;1
"306";8678;48;154656;1
"307";8390;36;115992;1
"308";12541;36;68832;1
"309";8110;12;45768;1
"310";8403;36;113544;1
"311";12541;36;131292;1
"312";8187;36;197748;1
"313";8254;60;314520;1
"314";8427;36;115812;1
"315";8968;48;154416;1
"316";12541;60;274740;1
"317";12541;24;168984;-1
"318";8994;36;217152;1
"319";8444;60;148920;1
"320";9622;48;69360;1
"321";12541;36;108144;1
"322";8819;36;182628;1
"323";10177;24;89880;1
"324";8754;60;392460;1
"325";9045;12;52788;1
"326";12541;60;419880;1
"327";8814;12;54024;1
"328";8110;24;129408;1
